x1,x2,y
0.037,3.758,1
4.425,0.914,1
2.173,0.742,1
0.631,5.104,1
1.55,4.351,1
4.144,4.503,0
5.055,1.859,1
3.097,4.85,1
4.788,4.872,0
0.024,6.263,1
0.647,0.435,0
0.948,2.879,1
1.936,1.717,0
6.48,2.514,1
5.566,3.712,1
3.245,2.663,0
6.297,2.917,1
4.23,0.19,1
2.045,5.238,1
4.912,0.847,1
6.025,4.415,1
5.089,2.034,1
3.473,5.428,1
2.485,5.519,1
3.53,0.951,1
0.072,6.82,1
0.295,5.252,1
6.52,3.552,1
0.96,1.271,0
5.85,6.673,0
3.636,4.985,1
6.033,6.625,0
4.065,4.785,0
2.368,3.175,0
3.537,3.219,0
0.3,4.82,1
6.475,0.781,1
1.08,3.234,1
0.523,1.861,1
0.275,3.684,1
5.984,1.896,1
6.978,0.602,1
2.012,3.569,1
4.613,1.263,1
0.151,6.522,1
3.875,0.137,1
3.553,3.356,0
0.678,5.888,1
3.233,4.412,1
4.615,2.329,1
0.76,1.251,0
5.82,2.667,1
1.509,2.262,0
1.449,4.199,1
4.507,6.817,1
2.82,5.772,1
2.756,2.777,0
5.407,5.113,0
1.37,0.523,0
1.037,6.889,1
5.403,2.593,1
5.594,6.183,0
4.117,1.89,1
1.429,4.683,1
6.15,4.645,1
1.661,5.252,1
3.695,1.249,1
4.305,1.935,1
2.713,4.983,1
1.548,4.526,1
3.989,1.845,1
6.885,0.679,1
5.305,1.682,1
0.258,2.971,1
2.827,2.325,0
1.662,3.68,1
4.073,2.164,1
1.373,3.742,1
2.21,5.639,1
0.528,1.347,0
3.511,4.503,0
2.487,3.611,1
3.364,4.379,1
0.952,2.968,1
4.601,6.398,1
6.595,0.111,1
6.31,3.477,1
2.566,5.823,1
5.511,2.76,1
3.321,1.571,1
2.929,0.149,1
5.48,2.155,1
6.779,6.767,0
5.436,6.437,1
1.46,6.159,1
0.265,0.611,0
4.032,1.222,1
4.02,1.527,1
6.816,0.994,1
6.189,4.447,1
0.762,0.298,0
6.129,5.067,1
2.571,5.405,1
2.306,3.974,1
2.787,1.698,1
4.198,6.953,1
0.608,2.061,1
5.142,3.487,1
6.213,2.2,1
6.584,4.522,1
3.859,1.944,1
4.79,4.741,0
2.011,5.463,1
3.97,0.71,1
4.413,1.155,1
6.979,5.1,1
2.28,4.814,1
4.586,4.411,0
6.52,3.07,1
4.809,4.238,0
5.033,2.971,1
6.96,4.095,1
3.323,6.349,1
5.399,6.001,0
2.232,0.497,1
5.074,0.805,1
5.378,0.09,1
6.063,6.97,0
2.058,0.417,1
5.143,6.95,1
5.405,4.302,1
4.325,3.621,0
4.137,3.765,0
4.168,5.372,1
2.0,5.047,1
0.51,6.843,1
0.381,1.422,1
1.511,1.64,0
4.167,1.578,1
3.965,6.792,1
1.212,5.399,1
5.369,4.315,1
5.389,0.663,1
2.297,2.034,0
5.224,6.497,1
2.399,5.934,1
3.538,3.25,0
1.534,2.137,0
2.553,2.141,0
4.618,3.343,1
0.074,1.785,1
4.272,2.193,1
0.766,4.391,1
1.513,1.673,0
3.623,6.974,1
5.116,0.813,1
5.225,6.225,0
2.402,3.993,1
0.702,2.162,1
6.58,3.139,1
5.445,5.914,0
1.152,0.663,0
0.995,4.397,1
1.833,2.235,0
5.619,2.024,1
4.971,2.639,1
0.553,3.552,1
5.008,5.662,0
5.596,0.086,1
0.277,3.398,1
3.952,6.271,1
3.128,6.682,1
5.353,2.766,1
3.204,0.259,1
0.594,6.947,1
2.492,6.359,1
6.488,5.707,0
3.86,3.129,0
3.177,4.856,1
0.091,5.037,1
5.265,0.246,1
0.998,2.546,1
0.402,4.225,1
1.812,2.385,0
3.768,5.814,1
4.41,2.963,1
5.211,1.541,1
3.591,5.098,1
2.209,2.501,0
6.217,6.419,0
0.536,0.924,0
4.79,5.074,0
6.703,4.573,1
0.972,1.638,0
3.73,2.41,1
2.042,2.306,0
0.751,4.6,1
1.408,1.021,0
5.903,6.774,0
2.542,0.631,1
4.821,6.41,1
3.239,5.778,1
0.641,6.034,1
6.661,4.626,1
5.74,5.229,0
0.412,4.146,1
6.729,1.974,1
1.098,6.449,1
4.31,3.001,1
0.299,1.409,1
1.214,5.306,1
2.342,6.35,1
4.917,6.66,1
2.664,3.637,0
3.054,0.645,1
2.018,3.114,1
2.072,5.27,1
6.962,3.954,1
4.58,2.29,1
1.885,1.666,0
4.811,6.998,1
6.479,3.29,1
0.752,0.716,0
6.337,3.317,1
1.314,4.723,1
3.305,3.943,0
6.871,2.258,1
3.336,5.408,1
3.529,3.428,0
4.099,4.085,0
2.831,0.549,1
2.592,0.85,1
1.719,5.373,1
5.344,2.162,1
4.329,1.099,1
1.679,5.461,1
0.284,5.884,1
4.242,0.958,1
4.391,4.142,0
0.625,1.032,0
3.949,2.458,1
5.094,3.747,1
6.397,3.901,1
6.255,4.055,1
1.443,5.739,1
4.016,2.974,1
2.319,4.051,1
0.001,0.711,0
0.485,5.479,1
4.02,3.383,0
2.869,3.603,0
6.189,2.444,1
1.998,1.639,0
0.246,6.0,1
3.26,1.049,1
2.844,5.526,1
3.498,1.96,1
1.783,5.915,1
6.215,5.529,0
0.851,1.495,0
1.965,0.557,1
1.329,6.899,1
4.725,6.096,1
6.692,0.908,1
3.241,6.29,1
5.952,4.748,1
6.86,4.818,1
3.478,4.976,1
4.552,4.108,0
2.62,1.16,1
1.613,4.618,1
5.627,4.45,1
5.795,1.33,1
6.467,6.302,0
5.16,0.134,1
5.191,6.719,1
0.883,5.801,1
0.063,0.459,0
5.974,1.738,1
5.551,1.8,1
0.098,1.953,1
6.012,1.23,1
0.598,1.227,0
1.907,1.861,0
0.726,3.849,1
5.724,0.133,1
5.828,5.231,0
4.259,3.967,0
4.358,2.247,1
2.854,2.129,0
0.406,6.61,1
5.099,5.408,0
1.472,1.908,0
0.815,6.077,1
2.842,5.388,1
6.968,2.098,1
6.871,0.715,1
6.66,1.347,1
2.348,1.898,0
3.697,1.79,1
6.009,4.217,1
0.755,6.819,1
1.134,2.907,1
1.831,5.179,1
5.379,4.412,0
6.751,6.354,0
6.35,1.897,1
3.725,0.183,1
0.419,1.088,0
2.233,4.345,1
3.239,4.265,1
6.888,4.394,1
5.899,3.995,1
0.781,6.454,1
6.496,2.149,1
5.773,6.742,0
6.2,0.823,1
0.417,2.532,1
1.763,2.514,0
0.753,6.823,1
4.056,3.039,1
1.657,0.735,0
6.679,4.054,1
1.633,4.549,1
4.744,2.439,1
5.481,6.087,0
2.86,6.709,1
3.139,0.195,1
3.844,5.154,1
2.85,1.103,1
1.916,6.425,1
2.0,0.512,1
2.072,3.785,1
2.809,2.241,0
2.23,6.228,1
1.197,5.26,1
5.645,6.138,0
3.34,5.315,1
1.198,3.474,1
2.809,2.642,0
1.382,0.845,0
5.15,6.905,1
6.039,0.241,1
1.015,0.573,0
2.954,4.658,1
2.252,3.872,1
5.609,5.788,0
6.613,5.072,1
4.703,1.612,1
6.984,3.692,1
6.364,3.8,1
6.832,1.654,1
2.854,5.777,1
1.268,2.878,1
3.42,2.074,1
4.485,0.183,1
4.279,4.313,0
4.529,4.549,0
4.729,0.788,1
0.841,5.622,1
5.717,1.327,1
4.19,2.848,1
5.129,3.119,1
5.959,6.74,0
3.928,3.493,0
5.506,4.435,1
2.19,5.802,1
1.177,4.446,1
5.289,4.743,0
2.942,6.994,1
6.568,1.277,1
4.772,0.834,1
5.681,4.17,1
2.734,3.719,0
4.029,4.595,0
6.845,0.414,1
2.902,0.915,1
4.138,1.609,1
5.795,1.465,1
1.462,2.927,1
6.463,4.17,1
5.053,4.503,0
1.837,3.181,1
0.405,3.645,1
5.409,3.627,1
5.46,0.055,1
2.862,4.262,1
4.773,5.445,0
1.87,6.537,1
5.212,1.028,1
2.568,3.283,0
5.292,3.232,1
2.981,0.049,1
0.541,0.515,0
2.312,0.48,1
5.868,6.763,0
1.628,2.592,0
3.427,2.814,0
0.796,2.76,1
3.209,5.046,1
2.746,5.014,1
4.803,0.509,1
3.083,1.547,1
1.518,5.477,1
3.585,6.968,1
5.852,3.568,1
0.714,3.659,1
5.279,2.549,1
6.77,2.897,1
1.608,1.506,0
1.193,0.203,0
4.796,4.24,0
2.169,0.178,1
6.587,5.07,1
6.767,1.856,1
4.636,1.664,1
3.15,2.836,0
3.742,5.145,1
5.658,0.606,1
0.618,4.137,1
1.146,2.511,1
2.028,1.097,0
1.056,5.064,1
5.352,2.856,1
3.138,1.221,1
6.045,5.441,0
0.36,5.062,1
0.565,5.927,1
1.22,3.265,1
1.849,5.732,1
4.628,2.751,1
2.233,0.336,1
6.391,1.421,1
1.662,2.921,1
3.602,2.053,1
1.953,4.327,1
1.658,2.256,0
6.687,4.699,1
4.526,6.618,1
4.264,2.525,1
6.742,5.349,1
0.98,6.28,1
1.882,6.996,1
4.07,6.908,1
4.145,6.626,1
2.967,5.699,1
3.027,2.297,0
5.961,5.046,0
0.409,4.777,1
4.562,6.511,1
3.268,1.661,1
5.044,3.37,1
0.626,6.029,1
0.791,4.477,1
2.116,6.011,1
0.567,3.036,1
5.632,1.225,1
6.256,2.608,1
4.235,2.794,1
6.726,0.849,1
5.857,1.074,1
5.399,4.838,0
4.299,1.03,1
3.734,4.983,1
3.17,0.231,1
5.033,3.309,1
4.628,6.704,1
1.866,1.944,0
1.244,0.073,1
0.349,3.691,1
6.899,0.644,1
6.791,4.561,1
2.881,4.992,1
6.592,3.483,1
2.328,3.119,0
0.907,2.328,1
1.446,1.462,0
1.439,3.239,1
0.373,1.093,0
4.917,2.38,1
3.117,2.595,0
0.173,2.982,1
6.522,4.683,1
3.899,0.306,1
5.219,3.697,1
3.472,2.547,0
2.746,0.405,1
5.388,6.077,0
1.348,4.718,1
4.094,2.467,1
1.307,3.011,1
1.399,1.777,0
0.943,1.394,0
4.926,1.744,1
4.218,0.817,1
2.22,5.545,1
3.022,3.384,0
6.146,0.568,1
6.907,1.724,1
2.646,4.127,1
6.336,5.944,0
2.497,2.035,0
0.781,1.406,0
1.297,4.463,1
1.002,5.012,1
6.128,6.35,0
6.271,6.072,0
0.795,2.925,1
2.346,3.353,1
6.968,3.038,1
5.879,2.907,1
4.628,1.045,1
0.663,4.751,1
0.091,1.121,1
6.762,3.121,1
4.403,6.598,1
4.4,3.749,0
6.278,4.518,1
2.049,2.9,0
1.448,4.078,1
5.412,6.066,0
2.251,6.698,1
5.845,5.79,0
6.392,5.099,1
6.514,0.733,1
0.383,2.529,1
4.0,6.18,1
0.025,0.119,0
